tank_num,block_ID,trmt_ID,tad_num,ind_type,assem_type,species,emerg_days,tail_absorb_days
7,B1_5,NL_C_S,1,NL,S,Fem,102,105
7,B1_5,NL_C_S,2,NL,S,Fem,112,115
7,B1_5,NL_C_S,3,NL,S,Fem,119,122
7,B1_5,NL_C_S,4,NL,S,Fem,128,131
13,B2_4,NL_C_S,1,NL,S,Fem,73,77
13,B2_4,NL_C_S,2,NL,S,Fem,83,87
13,B2_4,NL_C_S,3,NL,S,Fem,90,93
13,B2_4,NL_C_S,4,NL,S,Fem,91,94
13,B2_4,NL_C_S,5,NL,S,Fem,122,125
13,B2_4,NL_C_S,6,NL,S,Fem,129,132
13,B2_4,NL_C_S,7,NL,S,Fem,129,132
2,B3_6,NL_C_S,1,NL,S,Fem,81,84
2,B3_6,NL_C_S,2,NL,S,Fem,90,93
2,B3_6,NL_C_S,3,NL,S,Fem,107,110
2,B3_6,NL_C_S,4,NL,S,Fem,121,124
2,B3_6,NL_C_S,5,NL,S,Fem,123,126
40,B4_2,NL_C_S,1,NL,S,Fem,80,83
40,B4_2,NL_C_S,2,NL,S,Fem,87,90
40,B4_2,NL_C_S,3,NL,S,Fem,98,101
40,B4_2,NL_C_S,4,NL,S,Fem,107,110
40,B4_2,NL_C_S,5,NL,S,Fem,121,124
3,B5_4,NL_C_S,1,NL,S,Fem,57,60
3,B5_4,NL_C_S,2,NL,S,Fem,76,79
3,B5_4,NL_C_S,3,NL,S,Fem,86,89
3,B5_4,NL_C_S,4,NL,S,Fem,108,101
3,B5_4,NL_C_S,5,NL,S,Fem,111,114
3,B5_4,NL_C_S,6,NL,S,Fem,128,131
27,B1_3,NL_C_M,1,NL,M,Fem,97,101
27,B1_3,NL_C_M,2,NL,M,Fem,120,123
22,B2_7,NL_C_M,1,NL,M,Fem,94,97
18,B3_4,NL_C_M,1,NL,M,Fem,101,104
18,B3_4,NL_C_M,2,NL,M,Fem,108,111
18,B3_4,NL_C_M,3,NL,M,Fem,128,131
12,B4_7,NL_C_M,1,NL,M,Fem,111,114
12,B4_7,NL_C_M,2,NL,M,Fem,121,124
37,B5_2,NL_C_M,1,NL,M,Fem,103,106
37,B5_2,NL_C_M,2,NL,M,Fem,109,112
37,B5_2,NL_C_M,3,NL,M,Fem,122,125
39,B1_8,C_C_S,1,C,S,Fem,84,87
39,B1_8,C_C_S,2,C,S,Fem,90,93
39,B1_8,C_C_S,3,C,S,Fem,91,94
39,B1_8,C_C_S,4,C,S,Fem,100,103
39,B1_8,C_C_S,5,C,S,Fem,120,123
24,B2_2,C_C_S,1,C,S,Fem,47,50
24,B2_2,C_C_S,2,C,S,Fem,59,62
24,B2_2,C_C_S,3,C,S,Fem,76,79
24,B2_2,C_C_S,4,C,S,Fem,93,97
24,B2_2,C_C_S,5,C,S,Fem,100,103
24,B2_2,C_C_S,6,C,S,Fem,111,114
24,B2_2,C_C_S,7,C,S,Fem,116,119
6,B3_1,C_C_S,1,C,S,Fem,83,87
6,B3_1,C_C_S,2,C,S,Fem,88,91
6,B3_1,C_C_S,3,C,S,Fem,100,103
6,B3_1,C_C_S,4,C,S,Fem,107,110
9,B4_4,C_C_S,1,C,S,Fem,70,75
9,B4_4,C_C_S,2,C,S,Fem,88,91
9,B4_4,C_C_S,3,C,S,Fem,91,94
9,B4_4,C_C_S,4,C,S,Fem,109,112
9,B4_4,C_C_S,5,C,S,Fem,117,120
9,B4_4,C_C_S,6,C,S,Fem,121,124
9,B4_4,C_C_S,7,C,S,Fem,122,125
4,B5_3,C_C_S,1,C,S,Fem,57,59
4,B5_3,C_C_S,2,C,S,Fem,83,86
4,B5_3,C_C_S,3,C,S,Fem,92,96
4,B5_3,C_C_S,4,C,S,Fem,105,108
33,B1_6,C_C_M,1,C,M,Fem,79,82
33,B1_6,C_C_M,2,C,M,Fem,80,83
26,B2_8,C_C_M,1,C,M,Fem,75,78
26,B2_8,C_C_M,2,C,M,Fem,79,82
26,B2_8,C_C_M,3,C,M,Fem,124,127
34,B3_2,C_C_M,1,C,M,Fem,119,121
14,B4_8,C_C_M,1,C,M,Fem,72,76
14,B4_8,C_C_M,2,C,M,Fem,113,116
11,B5_6,C_C_M,1,C,M,Fem,78,81
