tad_ID treatment block_ID tad_num 1X 1Y 2X 2Y 3X 3Y 4X 4Y 5X 5Y 6X 6Y 7X 7Y 8X 8Y 9X 9Y 10X 10Y 11X 11Y 12X 12Y 13X 13Y 14X 14Y 15X 15Y 16X 16Y 17X 17Y 18X 18Y 19X 19Y 20X 20Y 21X  21Y
ExNLFe_1 NL ExNLFe 1 1667 1210 1676 1235 1691 1241 1716 1199 1731 1200 1745 1201 1764 1255 1784 1148 1825 1261 1851 1156 1871 1190 1893 1219 1995 1123 1998 1172 2000 1211 2003 1269 2108 1141 2110 1182 2110 1201 2113 1242 2287 1184
ExNLFe_2 NL ExNLFe 2 1745 1216 1757 1238 1769 1242 1791 1190 1803 1190 1813 1192 1820 1244 1839 1155 1880 1244 1888 1160 1912 1185 1929 1209 2000 1121 2000 1167 2002 1199 2004 1249 2089 1133 2092 1174 2093 1189 2096 1228 2230 1176
ExNLFe_3 NL ExNLFe 3 1557 1139 1572 1163 1586 1165 1606 1113 1619 1115 1630 1116 1632 1170 1644 1080 1692 1171 1691 1085 1714 1105 1734 1136 1805 1049 1808 1096 1809 1131 1810 1168 1894 1071 1894 1104 1896 1122 1898 1154 2027 1111
ExNLFe_4 NL ExNLFe 4 1617 1325 1634 1353 1647 1359 1672 1311 1687 1314 1700 1314 1713 1371 1736 1261 1803 1374 1802 1267 1835 1299 1861 1332 1965 1218 1966 1280 1969 1326 1974 1384 2087 1235 2089 1287 2089 1306 2091 1355 2276 1283
ExNLFe_5 NL ExNLFe 5 1568 1299 1577 1315 1593 1324 1621 1276 1632 1278 1640 1279 1646 1327 1673 1239 1704 1324 1705 1248 1728 1269 1751 1294 1830 1207 1832 1257 1833 1288 1834 1337 1936 1225 1937 1261 1937 1276 1937 1314 2073 1271
2_1 C B5_3 6 1693 1121 1710 1154 1726 1161 1757 1125 1770 1126 1779 1126 1797 1188 1855 1054 1863 1182 1884 1070 1902 1101 1915 1135 2027 1047 2027 1098 2027 1135 2032 1183 2139 1083 2140 1118 2141 1135 2142 1164 2294 1139
2_2 C B5_3 7 1843 1260 1855 1282 1867 1290 1881 1254 1894 1256 1909 1255 1917 1296 1957 1187 2002 1297 1993 1195 2029 1223 2050 1249 2116 1162 2118 1204 2120 1244 2123 1286 2219 1169 2220 1201 2221 1227 2223 1261 2401 1192
2_3 C B5_3 8 1807 1264 1821 1287 1834 1293 1846 1255 1859 1256 1871 1255 1890 1299 1914 1194 1959 1287 1950 1196 1973 1221 1989 1244 2067 1155 2068 1197 2070 1233 2071 1276 2162 1165 2163 1194 2164 1212 2166 1246 2303 1184
2_4 C B5_3 9 1649 1111 1662 1130 1679 1141 1699 1087 1711 1085 1721 1086 1720 1145 1755 1054 1784 1139 1788 1059 1808 1079 1823 1104 1896 1023 1898 1063 1899 1090 1899 1128 1987 1034 1988 1063 1988 1077 1989 1104 2107 1056
2_5 C B5_3 10 1553 951 1559 975 1571 983 1606 961 1619 961 1630 963 1630 999 1688 891 1708 1005 1716 908 1734 933 1745 960 1829 885 1830 924 1831 959 1831 995 1914 906 1916 936 1916 955 1918 982 2075 953
