tank_num,block_ID,ind_ID,species,ind_type,ind_num,assem_type,assem_num,time,tads_start,tads_remain,status
20,B1_7,NL_L_S,Fe,NL,1,S,1,0,8,8,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,6,8,5,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,12,8,5,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,18,8,5,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,24,8,5,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,30,8,5,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,36,8,4,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,42,8,4,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,48,8,3,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,60,8,3,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,72,8,3,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,84,8,2,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,96,8,1,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,108,8,1,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,120,8,1,1
20,B1_7,NL_L_S,Fe,NL,1,S,1,132,8,0,0
1,B2_3,NL_L_S,Fe,NL,1,S,1,0,8,8,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,6,8,7,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,12,8,7,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,18,8,7,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,24,8,6,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,30,8,6,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,36,8,6,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,42,8,5,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,48,8,5,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,60,8,2,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,72,8,2,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,84,8,1,1
1,B2_3,NL_L_S,Fe,NL,1,S,1,96,8,0,0
1,B2_3,NL_L_S,Fe,NL,1,S,1,108,8,0,0
1,B2_3,NL_L_S,Fe,NL,1,S,1,120,8,0,0
1,B2_3,NL_L_S,Fe,NL,1,S,1,132,8,0,0
30,B3_7,NL_L_S,Fe,NL,1,S,1,0,8,8,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,6,8,8,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,12,8,8,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,18,8,7,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,24,8,7,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,30,8,7,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,36,8,7,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,42,8,5,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,48,8,4,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,60,8,2,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,72,8,2,1
30,B3_7,NL_L_S,Fe,NL,1,S,1,84,8,0,0
30,B3_7,NL_L_S,Fe,NL,1,S,1,96,8,0,0
30,B3_7,NL_L_S,Fe,NL,1,S,1,108,8,0,0
30,B3_7,NL_L_S,Fe,NL,1,S,1,120,8,0,0
30,B3_7,NL_L_S,Fe,NL,1,S,1,132,8,0,0
29,B4_5,NL_L_S,Fe,NL,1,S,1,0,8,8,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,6,8,8,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,12,8,6,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,18,8,5,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,24,8,4,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,30,8,4,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,36,8,4,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,42,8,3,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,48,8,2,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,60,8,1,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,72,8,1,1
29,B4_5,NL_L_S,Fe,NL,1,S,1,84,8,0,0
29,B4_5,NL_L_S,Fe,NL,1,S,1,96,8,0,0
29,B4_5,NL_L_S,Fe,NL,1,S,1,108,8,0,0
29,B4_5,NL_L_S,Fe,NL,1,S,1,120,8,0,0
29,B4_5,NL_L_S,Fe,NL,1,S,1,132,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,0,8,8,1
16,B5_8,NL_L_S,Fe,NL,1,S,1,6,8,5,1
16,B5_8,NL_L_S,Fe,NL,1,S,1,12,8,5,1
16,B5_8,NL_L_S,Fe,NL,1,S,1,18,8,2,1
16,B5_8,NL_L_S,Fe,NL,1,S,1,24,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,30,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,36,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,42,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,48,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,60,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,72,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,84,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,96,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,108,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,120,8,0,0
16,B5_8,NL_L_S,Fe,NL,1,S,1,132,8,0,0
5,B1_1,C_L_S,Fe,C,2,S,1,0,8,8,1
5,B1_1,C_L_S,Fe,C,2,S,1,6,8,7,1
5,B1_1,C_L_S,Fe,C,2,S,1,12,8,7,1
5,B1_1,C_L_S,Fe,C,2,S,1,18,8,6,1
5,B1_1,C_L_S,Fe,C,2,S,1,24,8,6,1
5,B1_1,C_L_S,Fe,C,2,S,1,30,8,5,1
5,B1_1,C_L_S,Fe,C,2,S,1,36,8,5,1
5,B1_1,C_L_S,Fe,C,2,S,1,42,8,4,1
5,B1_1,C_L_S,Fe,C,2,S,1,48,8,4,1
5,B1_1,C_L_S,Fe,C,2,S,1,60,8,2,1
5,B1_1,C_L_S,Fe,C,2,S,1,72,8,1,1
5,B1_1,C_L_S,Fe,C,2,S,1,84,8,0,0
5,B1_1,C_L_S,Fe,C,2,S,1,96,8,0,0
5,B1_1,C_L_S,Fe,C,2,S,1,108,8,0,0
5,B1_1,C_L_S,Fe,C,2,S,1,120,8,0,0
5,B1_1,C_L_S,Fe,C,2,S,1,132,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,0,8,8,1
21,B2_5,C_L_S,Fe,C,2,S,1,6,8,6,1
21,B2_5,C_L_S,Fe,C,2,S,1,12,8,4,1
21,B2_5,C_L_S,Fe,C,2,S,1,18,8,3,1
21,B2_5,C_L_S,Fe,C,2,S,1,24,8,2,1
21,B2_5,C_L_S,Fe,C,2,S,1,30,8,1,1
21,B2_5,C_L_S,Fe,C,2,S,1,36,8,1,1
21,B2_5,C_L_S,Fe,C,2,S,1,42,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,48,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,60,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,72,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,84,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,96,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,108,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,120,8,0,0
21,B2_5,C_L_S,Fe,C,2,S,1,132,8,0,0
35,B3_3,C_L_S,Fe,C,2,S,1,0,8,8,1
35,B3_3,C_L_S,Fe,C,2,S,1,6,8,6,1
35,B3_3,C_L_S,Fe,C,2,S,1,12,8,6,1
35,B3_3,C_L_S,Fe,C,2,S,1,18,8,5,1
35,B3_3,C_L_S,Fe,C,2,S,1,24,8,3,1
35,B3_3,C_L_S,Fe,C,2,S,1,30,8,2,1
35,B3_3,C_L_S,Fe,C,2,S,1,36,8,2,1
35,B3_3,C_L_S,Fe,C,2,S,1,42,8,2,1
35,B3_3,C_L_S,Fe,C,2,S,1,48,8,1,1
35,B3_3,C_L_S,Fe,C,2,S,1,60,8,0,0
35,B3_3,C_L_S,Fe,C,2,S,1,72,8,0,0
35,B3_3,C_L_S,Fe,C,2,S,1,84,8,0,0
35,B3_3,C_L_S,Fe,C,2,S,1,96,8,0,0
35,B3_3,C_L_S,Fe,C,2,S,1,108,8,0,0
35,B3_3,C_L_S,Fe,C,2,S,1,120,8,0,0
35,B3_3,C_L_S,Fe,C,2,S,1,132,8,0,0
38,B4_3,C_L_S,Fe,C,2,S,1,0,8,8,1
38,B4_3,C_L_S,Fe,C,2,S,1,6,8,6,1
38,B4_3,C_L_S,Fe,C,2,S,1,12,8,6,1
38,B4_3,C_L_S,Fe,C,2,S,1,18,8,5,1
38,B4_3,C_L_S,Fe,C,2,S,1,24,8,3,1
38,B4_3,C_L_S,Fe,C,2,S,1,30,8,3,1
38,B4_3,C_L_S,Fe,C,2,S,1,36,8,3,1
38,B4_3,C_L_S,Fe,C,2,S,1,42,8,2,1
38,B4_3,C_L_S,Fe,C,2,S,1,48,8,1,1
38,B4_3,C_L_S,Fe,C,2,S,1,60,8,0,0
38,B4_3,C_L_S,Fe,C,2,S,1,72,8,0,0
38,B4_3,C_L_S,Fe,C,2,S,1,84,8,0,0
38,B4_3,C_L_S,Fe,C,2,S,1,96,8,0,0
38,B4_3,C_L_S,Fe,C,2,S,1,108,8,0,0
38,B4_3,C_L_S,Fe,C,2,S,1,120,8,0,0
38,B4_3,C_L_S,Fe,C,2,S,1,132,8,0,0
8,B5_1,C_L_S,Fe,C,2,S,1,0,8,8,1
8,B5_1,C_L_S,Fe,C,2,S,1,6,8,7,1
8,B5_1,C_L_S,Fe,C,2,S,1,12,8,7,1
8,B5_1,C_L_S,Fe,C,2,S,1,18,8,5,1
8,B5_1,C_L_S,Fe,C,2,S,1,24,8,5,1
8,B5_1,C_L_S,Fe,C,2,S,1,30,8,3,1
8,B5_1,C_L_S,Fe,C,2,S,1,36,8,3,1
8,B5_1,C_L_S,Fe,C,2,S,1,42,8,2,1
8,B5_1,C_L_S,Fe,C,2,S,1,48,8,2,1
8,B5_1,C_L_S,Fe,C,2,S,1,60,8,1,1
8,B5_1,C_L_S,Fe,C,2,S,1,72,8,1,1
